content,label1,label2
性价比】经过我这一个多月的时间使用以后发现这款车它的性价比还是比较不错的，综合各个方面的表现来看的话它值得这个售价而且在满足我用车出行这方面真的有非常不错的表现，我个人还是非常中意它的,用车成本,价格
最不满意】感觉唐就是被遗忘的那一类，汉都已经小改款几次了，也没有说给唐升级一下，特别是车机,其他信息,其他信息
其次就是纯电续航里程短，只有100公里，亏电行驶状态下，驾驶感受明显没有有电行驶的时候来的舒适,动力,续航
动力】动力杠杠的，运动模式下，深踩油门，推背感十足,动力,综合动力
虽然日常行车以稳为主，但应对突发状况，还是需要爆发力的,操控,
跑高速很稳，应该是跟车辆一自重有关,操控,
纯电模式下开着安静，动力平顺不卡顿，混动模式会有发动机的声音和轻微抖动，这点不喜欢,动力,综合动力
操控】车身大，刚开始开不习惯，轮毂上全是刮蹭的伤痕,操控,
舒适性】真皮座椅舒适，腿托和腰拖是良心配置,舒适性,座椅
整车隔音做的还可以，高速跑起来风噪会比较大，可能是SUV的通病，万能法宝就是呼唤小迪，打开音乐,舒适性,噪音
新车都有异味，通风几天，用滤净系统吹几次就好了,内饰,
外观】前面龙脸大气，车身漆看起来很高级,外观,外观设计风格
侧面腰线，22寸大轮毂加悬浮车顶，确实颜值在线,外观,外观设计风格
最满意】这台车真的开到现在我觉得他都神了，因为其实我最开始是没有准备选这款车的，是跟我爸吵了一架才选的这款车,其他信息,其他信息
他就听他一个老朋友的孩子给他推荐了这款车，所以他对这款车莫名其妙的就有着很好的印象，即使我在看了车以后说不喜欢他也是油盐不进,其他信息,其他信息
但是真的当我开上了这台车以后发现是真的挺好的，平时开车上下班开着感觉特别的好，实用性很强，还有很强的驾驶乐趣,其他信息,其他信息
"最不满意】这款车的隔音能力不是很好,坐在车里能听到一些噪音，对耳朵影响不是很好，这一点上我不是很满意",舒适性,噪音
空间】这台车的空间整体还是挺大的，因为我基本上就是自己上下班的时候开一开，或者是偶尔出去玩的时候顺路接一下朋友，大多数人对我车子的空间还是很满意的，都跟我说我这个车买的真不亏，坐起来宽敞还舒服，也是因为有了越来越多的人的对我车的夸奖，也让我慢慢的对这台车越来越喜欢了,空间,
"动力】动力的话我感觉是足够了,起步还是很快的,只要给油门加速也是很给力的，不管是在市区里跑还是上高速，它充足的动力输出都是可以很好的带动起来的",动力,综合动力
"操控】车子操控起来相当稳重,多功能的方向盘不仅很好掌握，各种功能也是很靠谱的，安全感十足，车子开起来也很稳，轻松上手没有问题",操控,
"油门和刹车也很线性,操控起来几乎没有什么太难的地方，我开起来还是感觉很合适的",操控,
能耗】这个油耗还是挺不错的，平时开着空调再加上有的时候会遇上堵车的情况，肯定油耗会比在高速上开的时候会高一些，但是我觉得平均百公里6.1的油耗真的不算高，毕竟现在气温下降，路上开车和打车的人也会比较多，堵车也是在所难免，这个油耗我觉得是可以接受的,用车成本,价格
"舒适性】车子开起来整体来说还算比较平稳,座椅支撑性还有包裹性也比较好,舒适度很可以",舒适性,座椅
就是车子的降噪不太好，坐在车里能听到外面的噪音,舒适性,噪音
"外观】外观还是很漂亮的,前脸设计给人的辨识度很高,车身给人一种很时尚大气的感觉,去看车的时候这个外观还是让我挺满意的，看车那天我也拍了挺多照片给我朋友看的，他们也都说挺好看的，要不然可能真的就痛失爱车了",外观,外观设计风格
车机反应也还是挺好的，坐在车里也觉得很有活力，很放松,操控,
性价比】最开始我还是觉得价格偏高了一些，但是等真正到手了开了起来感觉这台车还是挺对得起这个价格的，整体配置也都是蛮丰富的，安全性能也得到了很好的保障，而且保养起来也没花多少钱，到现在使用过程中也没有出现特别大的问题，用起来都是很优秀的,用车成本,价格
最满意】最满意的就是这个车子的颜值和动力了,外观,外观设计风格
"这两,方面的表现真的是让我感到了非常的大的满足感，妥妥的一台实力担当",其他信息,其他信息
"车子的整体速度那叫一个好，轻轻一踩就可以有很好的动力表现,整体顺畅快速的感受真的是一绝",动力,综合动力
车子的颜值也很高，开出去真的感觉特别的带感，家用车中可以有如此颜值，我觉得完全够用了,外观,外观设计风格
空间】这台车的乘坐空间和驾驶空间都是很充足的,空间,
整体空间都具有足够活动的乘坐区域，坐在车里距离车顶还有最少一拳的距离，乘坐起来是很放心的,空间,
"车子的后排乘坐空间而言,也有着比较大的腿部空间",空间,
"在我去看车的时候，第一次坐上这个车的时候,就被它的腿部空间惊喜到了，因为我的个头还是比较高的，这个空间表现真的是让我非常的满意",空间,
动力】动力也是十分有感觉，动力输出上是源源不断的，开起来也不会有顿挫感,动力,综合动力
整体的平顺性也更好的提升了驾驶的动力感,舒适性,噪音
"动力真的是召之即来，起步不肉,反应很灵敏,提速同步性很好,能够很清晰的感觉到动力的储备很充足",动力,综合动力
而且车子的速度也可以很好的就控制住了，快慢全靠自己而定,操控,
"能耗】整体行驶下来的油耗比较低，谢谢开车是比较仔细的,经常会去增进一下一身的技能，因为听别人说开车的油耗跟个人开车的习惯还是有一定的原因的，所以我相信在我的技术更好一些了以后，在油耗上后期应该会有一个更好的表现把",用车成本,价格
舒适性】车子的减震功能对于小颠簸过滤的也是比较彻底的，过一些烂路的时候，能够保证好车子整体的稳定性，这点也是不错的,舒适性,噪音
"而且虽然车子是比较修长的，但是在这种灵活性方面,以及车尾的跟随上也并没有太大的影响",操控,
就是车子的回个信效果差了一些，速度快的时候车子的发动机噪音还是挺大的,舒适性,噪音
"外观】非常的优雅动感,修长的车身给人一种高大上的格调，视觉上更是动力十足",外观,外观设计风格
一些细节的处理上也让车子开起来更加的有氛围感和高级感,外观,外观设计风格
为什么选择这款车】它是款非常务实的家用车，我觉得在我目前的人生阶段来讲，这款车真的再适合不过了,其他信息,其他信息
能耗】谈起油耗就是我很骄傲的地方了，百公里的油耗还不到8个啊，身边的同事各个都很羡慕我,用车成本,价格
舒适性】我坐在座椅上的感觉是挺软的，包裹性也不错，整个车子的减震也优秀，过减速带的时候感觉不到明显的震动感，不过隔音效果有待加强,舒适性,座椅
为什么选择这款车】选择这款车的话还是因为这款车的外观了，车子的外观非常的大气，完全符合我的审美了啊，而且4s店里的服务态度非常的好，车子的品控也是做的值得信赖的,外观,外观设计风格
2、空间足够大，能够装不少的东西，适合我们这样人口比较多的家庭,空间,
空间】我第3排基本没有坐人，是放平了用来做储物空间了，放一些行李完全够用了，前面驾驶座，我身高175坐进去刚刚好，完全能够容纳，一点都不觉得拥挤,空间,
最满意】一步到位选择顶配，停车开车都是那么从容，官方认证的4.3s加速，体验一次就忘不了那个爽了全景影像配地盘透视，出门在外别提多方便了！,外观,外观设计风格
最不满意】老实说22的轮圈是真好看，就是得多费心观察市区路况了是的，没错就是“市区”——哪儿哪儿都修路，哎,外观,外观设计风格
空间】平时就自己上班开，副驾都用的少.着实尴尬呢(___)!!,空间,
最满意】我最满意的地方就是这款车的性价比高，油耗比较低，用车成本很低,用车成本,价格
空间】空间给我感觉挺大的，前排坐着很宽敞，后排也没有约束的感觉,空间,
动力】动力挺强的起步很快路上超车也非常的轻松,动力,综合动力
能耗】油耗方面是比较低的，我比较的满意，用车成本很低,用车成本,价格
性价比】性价比我感觉还是挺高的，毕竟油耗低,用车成本,价格
为什么选择这款车】选择这款车也是经过深思熟虑的，比亚迪也算是新能源大品牌了，比较信赖,用车成本,价格
最满意】这个世上没有一蹴而就的事，也没有什么会一直难到底，哈哈，我开唐DM已经将近一年，2021也快走到尾巴上,其他信息,其他信息
说最马满意都是都是摆在那里的，外观，舒适性还有能耗,外观,外观设计风格
能耗方面唐DM过磨合期，冬天在市区能保持16.1，我觉得这么大车身还是挺满意了,用车成本,价格
最不满意】千年不变的梗，刹车片冷车异响严重，已经不是第一次反应，4S店售后群里，论坛里都反应过，上一代的避震问题有fsd改善不少，这刹车片问题着实让人头疼,操控,
空间】空间没得商量的大，今年从青浦搬到张江，我都没喊货拉拉，有唐DM就好了，后排全部放倒，家里杂七杂八搬了三次就搞定，大件无需担心放不下，车顶还有行李架，还可以另放物件，实实在在拉货车，哈哈，每次一家人去公园还是逛商场，唐DM充分发挥它的实力，也满足败家老婆的购买***人嘛，,空间,
操控】老实说，转向上唐DM还是有点不足，比起超级混动版差点意思，总归早买早享受，而且四驱在雨天打滑现象基本不存在，抓地更牢实，包括冬天遇到天气恶劣，宁夏这种地方常看到路上趴窝的，有雪地模式，应付这种最好不过，所以实力绝非偶然，哈哈,操控,
舒适性】除了冷车有刹车片异响，舒适方面唐DM还是做的非常好，腰部支撑好，像我这种长期开车的颈椎腰椎不好的人就很实用，pm2.5在当下还是比较有用，后排有独立空调，温度分区控制，上车座椅自动还原到上次的状态，氛围灯跟着音乐节奏改变，哪里还有不满意的，唐DM已经很到位,舒适性,座椅
最不满意】刚提车的前两个月车内的空调异味比较重，同时中控平板偶尔会出现卡顿的情况，还有第三排的空间较为狭小,空间,
空间】前排位置视野开阔，活动自如，车顶离头顶的距离也很大，丝毫不觉得压迫，甚至可以伸直腿；第二排的空间也很不错虽然说腿伸不直但膝盖并不会顶到前排座椅，第三排座椅的空间就很小了，通常只能用来应急坐一坐或者坐小孩,空间,
车子上的储物控件很足，放文件和合同都是够用的，保温杯也随时带在车上很方便,空间,
还有就是将车子的第二排放倒之后唐DM瞬间变身小货车一些工具和食品物资都可以很轻松的装进车里,空间,
最满意】自从我们家里多了这一款比亚迪之后，我感觉我的生活质量顿时都升高了不少，日常出行也都更加的简单方便了，平时想买什么，开着这辆车就去买了，车子的空间很大，我很满意的,空间,
空间】这辆车子的空间我觉得自然是非常充足的，无论是这辆车子的前排空间，还是它的第二排和第三排空间我都去试过，感觉坐起来的时候还都是比较宽松的,空间,
还有就是这辆车的后备箱，我觉得这辆车的后备箱也是很不错的，真的就是很大的,空间,
能耗】这辆车子的油耗我感觉还是挺低的，毕竟这辆车只是一辆中型的SUV，但是它百公里的油耗还不到八个点，说出去可能都没人信，但是它的油耗的确就这么低，因为毕竟它是一辆插电式油电混动的车,用车成本,价格
为什么选择这款车】当时觉得这辆车子的性价比还挺高的，而且它操控起来的舒适度也的确很不错，再开这辆车子的时候，也能够带给我很好的操控感，所以我也就选择了它,操控,
最满意】最满意的是它的整体实用性，因为我们家住的还是比较偏僻的，公交站和地铁站都离我们家非常远，平常出行如果没有一辆属于自己的车子的话还是挺麻烦的,其他信息,其他信息
所以我觉得这款比亚迪对于我来说真的是太重要了，我当初买它真的是一件非常正确的决定，因为油耗的经济性非常好，油电混合就是省油，是我最满意的了,用车成本,价格
空间】这辆车子的空间还是挺宽敞的，尤其是这辆车子的第一排空间和它的第二排空间都非常的宽大，虽然这辆车子第三排的空间并不算特别大，但是成年人坐进去也不会觉得拥挤,空间,
动力】这辆车子的动力真的是挺强的，4.3秒百米加速能让我感受到非常畅快的感觉，而且我觉得在高速上开车的时候，这辆车子的动力输出也是非常的充沛的，动力爆发力也比较强,动力,综合动力
操控】这辆车子的刹车很灵敏，油门的响应也比较快，所以这让我在平时操控的时候感觉还是非常的轻松方便的，而且这辆车子里面的安全系统配备的也很完备，这也让我在平时开车的时候更加的大胆自信了,操控,
空间】空间上这台车是完全没有压力的，非常的大，作为一台中型SUV，居家非常的棒,空间,
动力】动力输出没有延迟，基本上油门刚踩下，动力就传递到车轮上，即使是在中后段，只要舍得踩油门，动力衰减也不明显，高速上的加速超车，都能给到我预期的动力输出,动力,综合动力
操控】开车时视野好，非常开阔，两边的A柱不会过分遮挡视线；转向轻巧，车身跟随速度快，转弯并线很灵活，没有特别拖沓的感觉；还有自适应巡航功能，跑长途很好用,操控,
能耗】平时市区的话基本上用电就够了，跑长途时才会拥油，综合油耗一般是在6-7L的样子，波动的变化不大,用车成本,价格
按现在的油价来算，一公里4毛多，非常省钱,用车成本,价格
舒适性】座椅和空间方面还是很不错的，底盘的调校也挺好的，车内的颠簸感不大，但是风噪控制不好，只要速度起来，尤其是超过100km/h之后，听着就比较明显了,空间,
而且做工精良，细节的地方处理也很到位，没有毛糙的感觉,外观,外观设计风格
性价比】性价比还可以，虽然国产车卖到了28个，但是我觉得这辆车贵有贵的道理，能够给到我应有的享受，而不是花了冤枉钱,用车成本,价格
为什么选择这款车】外观非常的大气非常的时尚，空间也很符合我的需求，超低的油耗经济性很好，配置也挺齐全的，综合性能非常的实用，开着还是很有面子,空间,
动力】动力方面完全可以满足我正常驾驶的需求，平时上下班在市区内，即使动力再好，也得不到充分的展现，大部分时候都是跟车行驶，它能够做到很轻松，跑高速路况好，可以开得快一些，动力也完全跟得上，提速超车很容易,动力,综合动力
操控】车子开回家，我就是简单磨合几次就开着上班儿了，因为确实没有什么难度，只有在正常的行驶当中会磨合得越来越顺滑，车底盘特别稳，即使遇到大风天气，车身也不发飘，驾驶起来真的很容易,操控,
能耗】我朋友开的是纯燃油车，我们每天几乎是行驶同样的路况，但是他的车子油耗就会比我的车高不少，所以他也真的是非常羡慕我的车子省油，我自然也是非常满意的,用车成本,价格
外观】外观的主要特点就是体现在车头的部分，格栅的设计是非常独特的，看着也有足够的精致度，再和前大灯搭配起来，形成了比较完美的组合，让人看着是特别喜欢，当然了，车尾部也有很好的轮廓感,外观,外观设计风格
性价比】朋友们都羡慕我的车子，不仅仅是因为它是油电混合动力车，油耗比较低，其他的性能也有很不错的表现，我自己也感觉它的性价比很好,用车成本,价格
空间】我个人坐在车里也觉得很宽松，它的整个车子高度做的都非常好，这一点非常符合我的需求，我觉得车子能够在高度这方面做的好，就代表着它整体还是为了消费者考虑的,空间,
动力】加速的时候特别给力，而且踏实，那种持续性比较强的车，在整个动力持久力，爆发力这几个小的方面做的都比较好，让人觉得还挺满足的,动力,综合动力
能够选择这样一辆更强的车子，我自己也是觉得车子选对了,其他信息,其他信息
能耗】在日常行驶的过程当中，我感觉到这个车子油耗越来越低的，也是比我预期还要更好，反正大家买车都是图一个省心，都是图一个省钱，那么永和园的这个意义代表这个车子越来越实用了,用车成本,价格
舒适性】我自己是对隔音效果这方面没有什么太大要求的，但是家里有老人，所以希望这个车子能够把隔音这方面的提升一下，那么整体表现力会更好，不然的话跑高速啊之类也会有一些风噪声，这样的话会对家里人的乘坐感受造成影响,舒适性,噪音
外观】我现在是入手车子有一段时间了，但是每次看到这辆车都觉得非常惊艳，可能是因为它的这个设计风格确实是很好看吧，就能够让我在方方面面的都觉得不同的角度来看，这个车子都很不一样，都很有质感，都非常的帅气,外观,外观设计风格
身边的朋友，看我入手这辆车的时候也是纷纷的夸赞，我知道他们都是发自心底的夸赞,其他信息,其他信息
性价比】说实在的我可能看了挺多车，我也感觉他们的性价比都非常不错，但是要是真的要说不满意的地方也有，就是感觉这个车子它的价位给的不是特别的合理，其实可以再比当初入手的时候价格再低一点，这样也能让消费者觉得更加踏实,用车成本,价格
既然你追求了速度就不得不考虑耗能，自己比亚迪的电池还是很不错的，虽然续航里程不是特别远，但是假用其实足够呢，真正跑到高速上自然也是用的混动模式，所以说其实这个家用肯定没啥问题,动力,续航
故障】故障上一次自己的自动折叠后视镜突然不折了，我觉得肯能是人为破坏呢，后期去店面检查了一下，还是给我换了里面的东西，距离上次维修这都3个对月，目前用车的还是没啥问题,舒适性,座椅
换的东西也是比较顺心,其他信息,其他信息
吐槽】吐糟有啥没啥可吐糟，既然选择国产车吗，就要适应他的更新换代吗，就要适应的小毛病，毕竟没有十全十美的东西，只要我们好好爱护他们，自然车辆也会用的更加顺心，爱车如爱人，坚持耐心呵护就可以呢！,其他信息,其他信息
空间】空间绝对没问题，第3排乘坐起来肯定是有点压抑，但前两排都特别舒服，而且打开第3排的状态下还有不错微商空间,空间,
动力】新能源车的动力性能完全不用担心，电动机加汽油机的组合，低速和高速都能兼顾,动力,综合动力
操控】车身确实有点大，所以转弯半径偏大一点，但底盘挺扎实的，跑高速不飘,操控,
舒适性】功能开始太齐全了，座椅也非常的宽大和柔软，而且包裹感十足,舒适性,座椅
性价比】价格不算便宜，但产品力很优秀，总的来看性价比挺高的,用车成本,价格
为什么选择这款车】首先还是对这种七座大车有需求，但考虑现在油价很高，所以决定入手插电新能源车,用车成本,价格
唐的外观大气，价格实惠，各方面表现也都不错,外观,外观设计风格
最满意】颜值是我最喜欢的，非常的霸气，前脸非常个性的感觉，侧面的线条非常流畅，尾部的设计辨识度很高，每一个点都值得细看的唐，真的非常帅气，开着出门非常的有面子，硬要说亮点的话，另一点就是它的动力，用车这段时间，它的动力这一块真的让我很惊艳，超车完全没有压力，非常迅速，能感觉到那种源源不断的输出，很棒！,外观,外观设计风格
最不满意】悬挂不是很喜欢，日常在铺装路面倒是还好，就是路段不好的话震感还是挺明显的，过减速带的时候也是感觉底盘挺硬的,操控,
最满意】我在买车的时候罗列了几个要求：1.外观不能太老气了，2.一定要是自动挡，开起来舒服,外观,外观设计风格
3.底盘高一点，逢年过节或者是稍微跑跑长途有些复杂路况要有一定的通过性,操控,
4.最重要的一点；价格一定要合适,其他信息,其他信息
选来选去还是得比亚迪唐,其他信息,其他信息
它的外观很棒，前脸两侧的LED大灯给人感觉大气、利落,外观,外观设计风格
而且真正使用过程中感觉确实是一个好车，五座的感觉、七座的内涵,空间,
后排空间非常灵活，保养起来也很便宜,空间,
最不满意】它的隔音还是和合资车有一些差距，但是可以接受,舒适性,座椅
总体来说比亚迪作为国产车之光，我真的非常非常满意,用车成本,价格
性价比】就是购车的时候没啥优惠，不过提车还是很快的，nice,用车成本,价格
为什么选择这款车】家里有个紧凑型轿车了，所以想买个中型SUV，看了下很久，觉得还是要支持国产，所以提了新能源唐,其他信息,其他信息
最不满意】舒适性这一块一般般，高速上风噪声比较大，而且后备箱的空间我感觉有点小,空间,
空间】4.87米的车身长度，站在车前视觉冲击感就很强,空间,
车内空间很大，座椅前后都很宽敞,空间,
能耗】纯电续航大概80多公里，上下班代步还是可以的,动力,续航
舒适性】座椅软硬适中，支撑性好，就算是开长途也不会觉得太累,舒适性,座椅
这个天气座椅还有通风和加热功能，太舒服了，不过高速上风噪声有点大,舒适性,噪音
最满意】我最满意的就是他可以将电导出来当作生活用电，像我们有时候出远门的话，都担心那个手机没有电，或什么情况，但这个车子就不存在，他可以帮垫弄出来，当那个生活用电可以用来充电啊，烤烧烤什么的都很方便，这样的话，如果是出门旅游，也不用担心，真的是给我带来了太大的便利了，我上了图片，也就是他们在一起用这个车子来店烤烧烤，在那里玩耍,其他信息,其他信息
空间】空间是蛮大的，平常需要装一些物品都用的到,空间,
动力】以前没开过纯电的，感觉跟燃油的差不到哪里去，后面去试驾的时候，电动真的香,动力,综合动力
动力都是直来直去的,动力,续航
操控】我开着比较好，车距感都很清晰，我老婆开的时候一直都在说车子这么大，你让我怎么开啊，倒车都不好到,操控,
舒适性】舒适性简直拉满，座椅柔软不费腰,舒适性,座椅
主驾驶视野很开阔，盲区很少,操控,
就是有时候会卡顿,用车成本,价格
性价比】我觉得性价比还是不错的，绿牌不限行，我基本是奔着这个去的,用车成本,价格
而且还免购置税，节省了很多大洋,其他信息,其他信息
为什么选择这款车】绿牌不限行，而且空间也比较大,空间,
平常工作的原因，这么大的空间也用的到,空间,
最满意】我最满意的就是唐新能源的动力了，这款唐搭载的是517Ps的永磁动机，其最大扭矩可以达到680，最大功率也为比较良好的380，对于城市出行来说，这样的动力数据已经足够了,动力,综合动力
其他方面都很好，车子没有不管在设计还是性能方面都没有明显的短板,其他信息,其他信息
空间】车内前后排空间感都很强，并且车内的地板也是纯平的，没有明显的异常凸起，整体空间利用率比较高,空间,
动力】动力输出我十分满意，行驶过程中感觉动力的供给比较干脆，不会在起步阶段有拖泥带水的感觉，并且唐新能源中期的加速能力也比较强劲，加上四驱的设定，我几乎感觉不到车子在动力输出方面的顿挫感,动力,综合动力
电耗】平均电耗差不多为14.5千瓦时，续航能力也为比较突出的460公里，就经济性来说唐新能源做得还是不错的,动力,续航
